日付,発車時刻,到着時刻,乗車駅,降車駅,乗車駅番号,降車駅番号,会社,路線名,種別,列車名,列車番号,号車,前から両目,両数,編成番号（全）,編成番号（乗）,車両番号,距離（km）,その他詳細
2021/10/21,8:15,10:12,岐阜羽島,東京,,,JR東海,東海道新幹線,新幹線,ひかり638号,,16,,16,,,,396.3,2026年3月作成なので古いものは違う可能性あり
2021/10/22,14:33,16:35,東京,岐阜羽島,,,JR東海,東海道新幹線,新幹線,ひかり647号,,16,,16,,,,396.3,
2022/11/13,8:37?,8:59?,名鉄岐阜,三柿野,,,名古屋鉄道,各務原線,普通,,864?,,,,,,,11.2,航空祭　正確な時間は不明
2022/11/13,12:47?,13:09?,三柿野,名鉄岐阜,,,名古屋鉄道,各務原線,普通,,1267?,,,,,,,11.2,〇3 45分入線なのでダイヤ違う可能性
2024/10/18,7:06,7:29,岐阜,名古屋,,,JR東海,東海道本線,新快速,,2306F,,,,,,,30.3,〇6
2024/10/18,8:55,9:29,名古屋,京都,,,JR東海,東海道新幹線,新幹線,のぞみ295号,9295A?,16,,16,,,,147.6,遠足　2026/3時点でこの時間には297号がいて9297Aだがプリントによると295号
2024/10/18,9:57,10:11,京都,太秦,,E07,JR西日本,嵯峨野線,普通,,1231M,,,,,,(221系),8.6,221系？
2024/10/18,12:49,13:04,太秦,京都,E07,,JR西日本,嵯峨野線,普通,,1242M,,1,4,,,(221系),8.6,
2025/2/24,12:12,13:27,岐阜,敦賀,,,JR東海、JR西日本,東海道本線、北陸本線,特急,しらさぎ7号,7M,5,,,,,サハ680-13,95.5,
2025/2/24,13:41,14:39,敦賀,金沢,,,JR西日本,北陸新幹線,新幹線,つるぎ22号,22E,4,,,,,,125.1,
2025/2/25,19:06,20:03,金沢,敦賀,,,JR西日本,北陸新幹線,新幹線,つるぎ45号,45E,8,,,,,,125.1,
2025/2/25,20:15,21:29,敦賀,岐阜,,,JR西日本、JR東海,北陸本線、東海道本線,特急,しらさぎ16号,16M,6,,,,,クモハ683-15??,95.5,北陸ロマンあり
2025/4/29,8:50,9:29,金沢,高岡,,,IRいしかわ鉄道、あいの風とやま鉄道,IRいしかわ鉄道線、あいの風とやま鉄道線,普通,,433M,,,2?4?,(?+)AK10,,,40.6,
2025/4/29,16:41,16:54,志貴野中学校前,高岡駅,,,万葉線株式会社,万葉線(高岡軌道線),普通,,,,1?,2,MLRV1001,MLRV1001,MLRV 1001-B?,2.1,
2025/4/29,17:35,18:15,高岡,金沢,,,あいの風とやま鉄道、IRいしかわ鉄道,あいの風とやま鉄道線、IRいしかわ鉄道線,普通,,442M,,2?4?,4,,IR15,クモハ521-37,40.6,前は青
2025/5/18,7:59,9:17,金沢,福井,,,IRいしかわ鉄道、ハピラインふくい,IRいしかわ鉄道線、ハピラインふくい線,普通,,326M,,1?4?,4,,IR02,クハ520-14,76.7,連結は紫
2025/5/18,9:35,10:27,福井,敦賀,,,ハピラインふくい,ハピラインふくい線,普通,,1228M,,,2,,HF??,,54.0,
2025/5/18,17:11,18:02,敦賀,福井,,,ハピラインふくい,ハピラインふくい線,普通,,263M,3,2?,4,?+HF08,HF??,クハ520-??,54.0,
2025/5/18,19:12,20:30,福井,金沢,,,ハピラインふくい、IRいしかわ鉄道,ハピラインふくい線、IRいしかわ鉄道線,普通,,351M,,,2?4?,,IR??,,76.7,青？
2025/6/6,7:59,9:17,金沢,福井,,,IRいしかわ鉄道、ハピラインふくい,IRいしかわ鉄道線、ハピラインふくい線,普通,,326M,,2,4,,,クモハ521-28?,76.7,青　+紫か赤
2025/6/6,9:35,10:27,福井,敦賀,,,ハピラインふくい,ハピラインふくい線,普通,,1228M,,,2,,,クモハ521-49??,54.0,映ってたけどこれか？
2025/6/6,11:20,11:36,敦賀,近江塩津,,,JR西日本,北陸本線,新快速,,3161M,1,,,,V10,クハ222-2008,14.5,
2025/6/6,12:06,12:41,近江塩津,米原,,,JR西日本,北陸本線,新快速,,3267M,,,,,U8,クモハ224-112,31.4,
2025/6/6,13:00,13:34,米原,大垣,,,JR東海,東海道本線,普通,,218F,,,4?,,C107,モハ315-3507,35.9,8番線△7〇3に
