パス,テキスト
1_tugino-sinaihoumennno,次の、市内方面のバスは
1_tugini-sinaihoumennoribani-hairimasu,次に、市内方面のりばに入りますバスは
1_tugini-hairimasu,次に、入りますバスは
0_houmen,方面
0_kaisoku,快速
0_yukidesu,行きです
1_genzai-teikoku,現在、定刻で運転しております
1-2_sinkouhoukounousirogawa,進行方向の後ろ側に、1列に並んでお待ちください
1-2_seiretuzyousyani-gokyouryoku,整列乗車に、ご協力お願いします
1_sinaihoumennobasuwa,市内方面のバスは
1_teikokudoori,定刻通り
1_okurede,遅れで
1_wo-hassyasiteimasu,を、発車しています
1_domarino-basudesu,止まりのバスです
1_tugini-sinaihoumennoribani,次に、市内方面のりばに
1_tugini,次に
1-2_domari-toucyaku,止まりのバスが到着します
0_konobasuniha-gozyousyaninaremasen,このバスには、ご乗車になれません
2-4_cyuui,ご注意ください
1_tugini-sinaihoumennoribawo-basuga-tuuka,次に、市内方面乗り場を、バスが、通過します
0_konobasuwa,このバスは
0_nozyunnitomarimasu,の順に、止まります
0_niwatomarimasen,には、止まりません
0_orikaesi,折り返し
1-2_yukininarimasu,行きになります
2_mamonaku,まもなく
1-2_yukigamairimasu,行きが参ります
2_mamonaku-orikaesi,まもなく、折り返し
2_mamonaku-shinaihoumennoribani-orikaesi,まもなく、市内方面のりばに、折り返し
2_yukigatoucyakusimasu,行きが到着します
3_gozyousya-arigatou,ご乗車、ありがとうございました
3_syuutenn,終点
0_desu,です
3_syanaini,車内に
3_owasuremoinonaiyou-gocyuui,お忘れ物ないよう、ご注意ください
3_honzituha-hokutetukanazawabasuwo,本日は、北鉄金沢バスをご利用いただき、ありがとうございました
3_konobasuha-konoato-doawosinmete,このバスは、この後、ドアを閉めて
3_cyuusyazyouni,駐車場に入ります
3_kaisoushimasu,回送します
3_toucyakunobasuha-touekidomaridesu,到着のバスは、当バス停止まりです
3_teisyacyuuha,停車中のバスは
4_ga-hassya,が、発車します
4_shinaihoumen-noribakara,市内方面のりばから
4_ikiga-hassya,行きが、発車します
4_doagashimari,ドアが閉まります
4_shimarudoani,閉まるドアに
4_doani,ドアに

part/h_0,0時
part/h_1,1時
part/h_2,2時
part/h_3,3時
part/h_4,4時
part/h_5,5時
part/h_6,6時
part/h_7,7時
part/h_8,8時
part/h_9,9時
part/h_10,10時
part/h_11,11時
part/h_12,12時
part/h_13,13時
part/h_14,14時
part/h_15,15時
part/h_16,16時
part/h_17,17時
part/h_18,18時
part/h_19,19時
part/h_20,20時
part/h_21,21時
part/h_22,22時
part/h_23,23時
part/m_0,ちょうど
part/m_1,1分
part/m_2,2分
part/m_3,3分
part/m_4,4分
part/m_5,5分
part/m_6,6分
part/m_7,7分
part/m_8,8分(はっぷん)
part/m_8-chi,8分(はちふん)
part/m_9,9分
part/m_10,10分
part/m_20,20分
part/m_30,30分
part/m_40,40分
part/m_50,50分
part/hatsu,発
part/10,10
part/20,20
part/30,30
part/40,40
part/50,50
part/60,60
part/70,70
part/80,80
part/90,90
part/n_,番
part/n_1,1番
part/n_2,2番
part/n_3,3番
part/n_4,4番
part/n_5,5番
part/n_6,6番
part/n_7,7番
part/n_8,8番
part/n_9,9番
part/s_1,金沢大学
part/s_2,金沢大学中央
part/s_3,金沢大学自然研前
part/s_4,金沢大学角間口
part/s_5,角間新町
part/s_6,若松
part/s_7,若松西
part/s_8,若松橋
part/s_9,旭町
part/s_10,旭町口
part/s_11,田井町
part/s_12,若谷
part/s_13,鈴見台二丁目
part/s_14,鈴見台一丁目
part/s_15,桜町
part/s_16,暁町
part/s_17,横山町
part/s_18,小将町
part/s_19,兼六園下・金沢城
part/s_20,広坂・21世紀美術館
part/s_21,香林坊
part/s_22,南町・尾山神社
part/s_23,武蔵ヶ辻・近江町市場
part/s_24,リファーレ前
part/s_25,金沢駅
part/s_26,鈴見町
part/s_27,御所町
part/s_28,金沢星稜大学 星稜高校
part/s_29,小坂西
part/s_30,東金沢駅東口
part/s_31,東金沢駅
part/s_32,丸の内
part/s_33,合同庁舎前
part/s_34,片町
part/s_35,広小路
part/s_36,野町
part/s_37,泉一丁目
part/s_38,泉新町
part/s_39,金沢高校前
part/s_40,西泉
part/s_41,米泉
part/s_42,西金沢
part/s_43,如来寺前
part/l_1,金沢大学線
part/l_2,東金沢金大線
part/l_3,西金沢線
part/l_4,市立病院線
part/b_0.1,[0.1秒]
part/b_0.2,[0.2秒]
part/b_0.5,[0.5秒]
